Date,Commits
2012-01,3
2007-08,75
2007-09,116
2007-06,110
2007-07,93
2007-04,33
2007-05,54
2007-02,29
2007-03,70
2008-12,2
2007-01,39
2008-10,3
2012-04,0
2008-11,7
2012-05,0
2012-02,0
2012-03,0
2012-08,0
2012-09,2
2012-06,1
2012-07,0
2010-10,0
2006-08,59
2006-07,54
2006-09,44
2006-04,36
2006-03,98
2006-06,56
2006-05,92
2006-02,80
2007-11,46
2006-01,112
2007-12,38
2010-12,0
2007-10,103
2010-11,0
2011-11,0
2011-10,0
2005-07,6
2005-09,61
2005-08,9
2009-09,2
2010-09,0
2009-08,2
2010-08,0
2009-07,1
2009-06,0
2006-11,48
2009-05,3
2006-10,38
2009-04,1
2009-03,0
2006-12,17
2009-02,2
2009-01,0
2010-01,0
2011-12,0
2010-03,0
2010-02,0
2010-05,0
2010-04,0
2010-07,1
2010-06,0
2008-09,8
2008-07,4
2008-08,13
2011-09,0
2008-05,21
2008-06,11
2005-10,31
2008-03,112
2008-04,125
2005-12,61
2008-01,34
2005-11,52
2008-02,67
2009-12,0
2011-02,0
2009-11,0
2011-01,0
2009-10,0
2011-04,0
2011-03,0
2011-06,0
2011-05,0
2011-08,0
2011-07,0
